Materials Name,Molecule Name,Can Pass SievingSieving Mechanism,Mechanism,Test Conditions,Threshold Pressure,,
ZIF-8,xylene,No,Size exclusion at sub-nanometer scale,molecular-sieving,Not Reported,Not Applicable,
ZIF-8,toluene,No,Molecular sieving effect due to effective pore size range of 4.0�?.2 Å.,Size exclusion,"25 °C, 15 % RH",Not Applicable,
ZIF-8,hexane,Yes,Size exclusion at sub-nanometer scale,Kinetic sieving,"398 K, 1 bar",Not Applicable,
ZIF-8,2-methylpentane,Conditional (see Additional Info),Size exclusion at sub-nanometer scale,Kinetic sieving,"398 K, 1 bar",Not Applicable,
ZIF-8,"2,2-dimethylbutane",No,Size exclusion at sub-nanometer scale,Kinetic sieving,"398 K, 1 bar",Not Applicable,
ZIF-8,2-methylpentane,Conditional (see Additional Info),Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, up to p/p0 �?1",Not Applicable,
ZIF-8,"2,2-dimethylbutane",No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, up to p/p0 �?1",Not Applicable,
ZIF-8,toluene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
ZIF-8,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"25 °C, 1 bar",Not Applicable,
ZIF-8,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"303 K, up to 6 bar",Not Applicable,
ZIF-8,xenon,Yes,Not Reported,Diffusion selectivity,"298 K, 1 bar",Not Applicable,
ZIF-8,krypton,Yes,Not Reported,Diffusion selectivity,"298 K, 1 bar",Not Applicable,
ZIF-8,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
ZIF-8,carbon dioxide,Yes,Gate-opening allows adsorption of molecules up to 5.4 Å despite 3.4 Å crystallographic pore size,Gate-opening allows adsorption despite larger size than crystallographic pore aperture,Not Reported,Not Applicable,
ZIF-8,methane,Conditional (see Additional Info),Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,Not Reported,Not Applicable,
ZIF-8,octane,Yes,Size exclusion at sub-nanometer scale,Gate opening effect,"398 K, pressures up to 100 kPa",Not Applicable,
ZIF-8,carbon dioxide,Yes,Gate opening and linker swinging at low temperatures,Gate opening and linker swinging,"1.8 to 300 K, up to 689 kPa CO2 pressure",Not Applicable,
ZIF-8,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Not Reported,35 °C,Not Applicable,
ZIF-8,oxygen,Yes,Size exclusion at sub-nanometer scale,Not Reported,35 °C,Not Applicable,
ZIF-8,methane,Yes,Size exclusion at sub-nanometer scale,Not Reported,35 °C,Not Applicable,
ZIF-8,ethylene,Yes,Size exclusion at sub-nanometer scale,Not Reported,35 °C,Not Applicable,
ZIF-8,ethane,Yes,Size exclusion at sub-nanometer scale,Not Reported,35 °C,Not Applicable,
ZIF-8,propylene,Yes,Size exclusion at sub-nanometer scale,Not Reported,35 °C,Not Applicable,
ZIF-8,propane,Yes,Size exclusion at sub-nanometer scale,Not Reported,35 °C,Not Applicable,
ZIF-8,1-butene,Yes,Size exclusion at sub-nanometer scale,Not Reported,35 °C,Not Applicable,
ZIF-8,isobutane,Yes,Size exclusion at sub-nanometer scale,Not Reported,35 °C,Not Applicable,
ZIF-8,2-methylpentane,Conditional (see Additional Info),Gate-opening effect due to flexibility of imidazole linkers,Kinetic sieving,"373 K, up to 100 kPa",Not Applicable,
ZIF-8,"2,3-dimethylbutane",Conditional (see Additional Info),Gate-opening effect due to flexibility of imidazole linkers,Kinetic sieving,"373 K, up to 100 kPa",Not Applicable,
ZIF-8,"2,2-dimethylbutane",No,Gate-opening effect due to flexibility of imidazole linkers,Size exclusion,"373 K, up to 100 kPa",Not Applicable,
ZIF-8,1-hexene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"Room temperature, vapor phase",Not Applicable,
ZIF-8,benzene,No,Size exclusion at sub-nanometer scale,Size exclusion,"Room temperature, vapor phase",Not Applicable,
ZIF-8,toluene,No,Size exclusion at sub-nanometer scale,Size exclusion,"Room temperature, vapor phase",Not Applicable,
ZIF-8,cyclohexane,No,Size exclusion at sub-nanometer scale,Size exclusion,"Room temperature, vapor phase",Not Applicable,
ZIF-8,carbon dioxide,Yes,Adsorption-based selectivity due to interactions with IL pairs.,Adsorption-based selectivity,"298.15 K, pressures ranging from 0.065 bar to higher values",Not Applicable,
ZIF-8,methane,Yes,Adsorption-based selectivity due to interactions with IL pairs.,Size exclusion,"298.15 K, pressures ranging from low to high",Not Applicable,
ZIF-8,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"Fully flexible framework, conditions vary",Not Applicable,
ZIF-8,methane,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"Fully flexible framework, conditions vary",Not Applicable,
ZIF-8,propylene,Conditional (see Additional Info),Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"Fully flexible framework, conditions vary",Not Applicable,
ZIF-8,propane,Conditional (see Additional Info),Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"Fully flexible framework, conditions vary",Not Applicable,
ZIF-7-90,carbon dioxide,Yes,Tunable pore size and gate-opening effect via mixed-linker synthesis,Size exclusion at sub-nanometer scale,"273 K, 1 bar",Not Applicable,
ZIF-7-8,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"Fully flexible framework, conditions vary",Not Applicable,
ZIF-7-8,methane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"Fully flexible framework, conditions vary",Not Applicable,
ZIF-78,carbon dioxide,Yes,Smaller pore size leads to higher selectivity for CO2,Smaller pore size enhances CO2 adsorption,"298 K, 1 bar",Not Applicable,
ZIF-78,methane,No,Smaller pore size leads to higher selectivity for CO2,Size exclusion and weaker interactions,"298 K, 1 bar",Not Applicable,
ZIF-7,carbon dioxide,No,Kinetic sieving based on molecular size,Kinetic diameter larger than pore size,200 °C,Not Applicable,
ZIF-7,ethane,Yes,Guest-dependent gate-opening pressure leading to selective adsorption.,Gate-opening effect,298 K,12 kPa,
ZIF-7,ethylene,Yes,Guest-dependent gate-opening pressure leading to selective adsorption.,Gate-opening effect,298 K,41 kPa,
ZIF-7,carbon dioxide,Yes,Guest-dependent gate-opening pressure leading to selective adsorption.,Gate-opening effect,303 K,78 kPa,
ZIF-7,methane,Yes,Guest-dependent gate-opening pressure leading to selective adsorption.,Gate-opening effect,303 K,1245 kPa,
ZIF-7,nitrous oxide,Yes,Guest-dependent gate-opening pressure leading to selective adsorption.,Gate-opening effect,298 K,35 kPa,
ZIF-7,carbon monoxide,Yes,Guest-dependent gate-opening pressure leading to selective adsorption.,Gate-opening effect,Not Reported,Not Applicable,
ZIF-7,carbon dioxide,Yes,Not Reported,Electrochemical reduction facilitated by ligand active sites,"-1.1 V (vs. RHE), CO2-saturated 0.25 M K2SO4 solution, pH 4.2, room temperature, atmospheric pressure",Not Applicable,
ZIF-7,carbon dioxide,No,Size exclusion at sub-nanometer scale,Size exclusion,"30-75 °C, varying pressures",60 kPa at 30 °C,
ZIF-7,carbon dioxide,Conditional (see Additional Info),Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"233-293 K, pressures up to 120 kPa",Dependent on temperature (ptr decreases with decreasing temperature),
ZIF-7,ethylene,Conditional (see Additional Info),Dynamic molecular sieving via gate-opening,Gate-opening effect,Varied pressures,Dependent on gate-opening mechanism,
ZIF-7,ethane,No,Dynamic molecular sieving via gate-opening,Size exclusion,Varied pressures,Dependent on gate-opening mechanism,
ZIF-67,carbon dioxide,No,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
ZIF-67,propylene,Yes,Not Reported,Kinetic sieving,"30 °C, 3 bar",Not Applicable,
ZIF-67,propane,Yes,Not Reported,Diffusion-based separation,"30 °C, 3 bar",Not Applicable,
ZIF-67,carbon dioxide,Yes,Gate-opening allows adsorption of molecules up to similar size limit as ZIF-8,Gate-opening allows adsorption despite larger size than crystallographic pore aperture,Not Reported,Not Applicable,
ZIF-62,oxygen,Yes,Breathing effect and structural expansion upon gas adsorption,Size exclusion at sub-nanometer scale,"77 K, up to 1 bar",Not Applicable,
ZIF-62,methane,Yes,Breathing effect and structural expansion upon gas adsorption,Size exclusion at sub-nanometer scale,"298 K, up to 1 bar",Not Applicable,
ZIF-62,ethane,Yes,Breathing effect and structural expansion upon gas adsorption,Preferential adsorption of saturated hydrocarbons,"298 K, up to 1 bar",Not Applicable,
ZIF-62,ethylene,Yes,Breathing effect and structural expansion upon gas adsorption,Faster diffusion of unsaturated hydrocarbons,"298 K, up to 1 bar",Not Applicable,
ZIF-62,propane,Conditional (see Additional Info),Breathing effect and structural expansion upon gas adsorption,Size exclusion at sub-nanometer scale,"298 K, up to 1 bar",Not Applicable,
ZIF-62,propylene,Yes,Breathing effect and structural expansion upon gas adsorption,Size exclusion at sub-nanometer scale,"298 K, up to 1 bar",Not Applicable,
ZIF-62,2-methylpentane,Conditional (see Additional Info),Breathing effect and structural expansion upon gas adsorption,Size exclusion at sub-nanometer scale,"298 K, up to 1 bar",Not Applicable,
ZIF-62,"2,2-dimethylbutane",No,Breathing effect and structural expansion upon gas adsorption,Size exclusion at sub-nanometer scale,"298 K, up to 1 bar",Not Applicable,
ZIF-62,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
ZIF-62,ethane,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
ZIF-20,carbon dioxide,Yes,Not Reported,Dynamic window-widening process,"273 K, 760 torr",Not Applicable,
ZIF-20,methane,No,Not Reported,Size exclusion,"273 K, 760 torr",Not Applicable,
ZIF-108,carbon dioxide,Yes,Not Reported,Electrochemical reduction facilitated by ligand active sites,"-1.3 V (vs. RHE), CO2-saturated 0.25 M K2SO4 solution, pH 4.2, room temperature, atmospheric pressure",Not Applicable,
Y-fum-fcu-MOF and Eu-naph-fcu-MOF,carbon dioxide,Yes,Molecular sieving through constrained triangular pore-apertures,Selective adsorption and diffusion,"Varied, see source text for details",Not Applicable,
Y-fum-fcu-MOF and Eu-naph-fcu-MOF,methane,No,Molecular sieving through constrained triangular pore-apertures,Size exclusion at sub-nanometer scale,"Varied, see source text for details",Not Applicable,
Y-fum-fcu-MOF,isobutane,No,Molecular sieving based on rigid pore apertures and size exclusion,Total size exclusion,"293 K (adsorption isotherms); 298 K, 1 bar (mixed-gas breakthrough)",Not Applicable,
Y-fum-fcu-MOF,isobutane,No,Size exclusion at sub-nanometer scale,size exclusion,293 K,Not Applicable,
Y-dbai,propylene,Yes,Size exclusion at sub-nanometer scale due to pore window size and electrostatic interactions,molecular sieving,"298 K, 100 kPa",Not Applicable,
Y-dbai,propane,No,Size exclusion at sub-nanometer scale due to pore window size and electrostatic interactions,molecular sieving,"298 K, 100 kPa",Not Applicable,
Y-dbai,butadiene,Yes,Molecular sieving effect for i-C4H8 due to pore window size being smaller than its minimum cross-sectional size.,Thermodynamic-kinetic synergistic effect,"298 K, 1 bar",Not Applicable,
Y-dbai,1-butene,Yes,Molecular sieving effect for i-C4H8 due to pore window size being smaller than its minimum cross-sectional size.,Thermodynamic-kinetic synergistic effect,"298 K, 1 bar",Not Applicable,
Y-dbai,isobutene,No,Molecular sieving effect for i-C4H8 due to pore window size being smaller than its minimum cross-sectional size.,Size exclusion,"298 K, 1 bar",Not Applicable,
Y-abtc,propylene,Yes,Selective molecular exclusion based on kinetic diameter difference,Size exclusion,"298 K, 1 bar",Not Applicable,
Y-abtc,propane,No,Selective molecular exclusion based on kinetic diameter difference,Size exclusion,"298 K, 1 bar",Not Applicable,
Y-abtc,propylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
Y-abtc,propane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
Y-abtc,propylene,Yes,Molecular sieving based on size exclusion,Molecular sieving,"298 K, 1 bar",Not Applicable,
Y-abtc,propane,No,Molecular sieving based on size exclusion,Size exclusion,"298 K, 1 bar",Not Applicable,
Y-abtc,propylene,Yes,Size exclusion for propane; molecular sieving for propylene,Size-compatible pore aperture,Not Reported,Not Applicable,
Y-abtc,propane,No,Size exclusion for propane; molecular sieving for propylene,Size exclusion,Not Reported,Not Applicable,
Y-abtc,propylene,Yes,Selective molecular exclusion for propane/propylene mixtures,Size exclusion,"298 K, 100 kPa",Not Applicable,
Y-abtc,propane,No,Selective molecular exclusion for propane/propylene mixtures,Size exclusion,"298 K, 100 kPa",Not Applicable,
Y-abtc,propylene,Yes,Exclusive adsorption of smaller molecules,Kinetic sieving,Ambient temperature,Not Applicable,
Y-abtc,propane,No,Exclusive adsorption of smaller molecules,Size exclusion,Ambient temperature,Not Applicable,
Y-dbai,propylene,Yes,Not Reported,Size exclusion,Not Reported,Not Applicable,
Y-dbai,propane,No,Not Reported,Size exclusion,Not Reported,Not Applicable,
VOFFIVE-1-Ni,1-chloropropane,No,Dynamic recognizing mechanism combining rigid and flexible framework properties,Excluded due to strong CH···Cl hydrogen bonding and absence of π–π interaction,"303 K, vapor phase",Not Applicable,
VOFFIVE-1-Ni,carbon dioxide,Yes,Controlled dynamical movement and host-guest interactions,Strong affinity and favorable adsorption sites,"293 K, up to 1 bar",Not Applicable,
VOFFIVE-1-Ni,methane,No,Controlled dynamical movement and host-guest interactions,Size exclusion due to limited pore aperture,"293 K, 0.5 bar",Not Applicable,
V/Cu-BTC,benzene,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"25 °C, ambient pressure",Not Applicable,
UU-200,3-methylpentane,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"303 K, 110 Torr",Not Applicable,
UU-200,"2,2-dimethylbutane",No,Size exclusion at sub-nanometer scale,Size exclusion,"303 K, 110 Torr",Not Applicable,
UU-200,2-methylpentane,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"303 K, 110 Torr",Not Applicable,
UU-200,"2,3-dimethylbutane",No,Size exclusion at sub-nanometer scale,Size exclusion,"303 K, 110 Torr",Not Applicable,
UTSA-74,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
UTSA-74,acetylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
UTSA-400,propylene,Yes,Gate-opening effect facilitates selective separation,Strong host–guest interactions,298 K,Not Applicable,
UTSA-400,propane,No,Gate-opening effect facilitates selective separation,Gate-opening effect excludes C3H8,298 K,Not Applicable,
UTSA-400,propylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
UTSA-400,propane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
UTSA-300a,acetylene,Yes,Selective gate opening by acetylene.,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-300a,ethylene,No,Selective gate opening by acetylene.,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-300,acetylene,Yes,Size match and orientation binding mode enhance differences between acetylene and carbon dioxide,Host-guest interactions in head-on orientation,"273 K, 1 bar",Not Applicable,
UTSA-300,carbon dioxide,No,Size match and orientation binding mode enhance differences between acetylene and carbon dioxide,Electrostatic repulsion prevents breaking hydrogen bonds,"273 K, 1 bar",Not Applicable,
UTSA-300,ethylene,No,Size match and orientation binding mode enhance differences between acetylene and carbon dioxide,Size exclusion due to larger kinetic diameter,"273 K, 1 bar",Not Applicable,
UTSA-280 MOF,ethylene,Yes,Size exclusion at sub-nanometer scale,Diffusion and size exclusion,"298 K, 101 kPa",Not Applicable,
UTSA-280 MOF,ethane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 101 kPa",Not Applicable,
UTSA-280,ethylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-280,ethane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-280,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
UTSA-280,methane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
UTSA-280,ethylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-280,ethane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-280,ethylene,Yes,Size exclusion for ethane; molecular sieving for ethylene,Size-compatible cross-section,"298 K, 1 bar",Not Applicable,
UTSA-280,ethane,No,Size exclusion for ethane; molecular sieving for ethylene,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-280,ethylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-280,ethane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-280,ethylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
UTSA-280,ethane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
UTSA-280,ethylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-280,ethane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-280,ethylene,Yes,Size exclusion at sub-nanometer scale,Kinetic sieving,"298 K, 1 bar",Not Applicable,
UTSA-280,ethane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-280,ethylene,Yes,Molecular sieving through precisely tuned pore size between C2H4 and C2H6.,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-280,ethane,No,Molecular sieving through precisely tuned pore size between C2H4 and C2H6.,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-280,ethylene,Yes,Complete blocking of larger molecules,Kinetic sieving,"298 K, 1 bar",Not Applicable,
UTSA-280,ethane,No,Complete blocking of larger molecules,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-200a,ethylene,Temperature-dependent,Not Reported,Kinetic sieving,Controlled by temperature,Not Applicable,
UTSA-200a,methane,No,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-200a,ethylene,Yes,Ideal molecular sieving effect,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-200a,ethane,No,Ideal molecular sieving effect,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-200a,acetylene,Yes,Size and/or shape exclusion,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-200a,ethylene,No,Size and/or shape exclusion,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-200a,acetylene,Yes,Optimized pore size falls between kinetic diameters of C2H2 and C2H4.,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-200a,ethylene,No,Optimized pore size falls between kinetic diameters of C2H2 and C2H4.,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-200,propyne,Yes,Size exclusion at sub-nanometer scale combined with strong binding sites for propyne,Strong binding and pore flexibility allow passage,"298 K, 0.01 bar",Not Applicable,
UTSA-200,propylene,No,Size exclusion at sub-nanometer scale combined with strong binding sites for propyne,Size exclusion due to smaller pore size,"298 K, 0.01 bar",Not Applicable,
UTSA-200,acetylene,Yes,Not Reported,Strong host-guest hydrogen bonding,"298 K, 1 bar",Not Applicable,
UTSA-200,ethylene,No,Not Reported,Size exclusion,"298 K, up to 0.7 bar",Not Applicable,
UTSA-200,acetylene,Yes,Size exclusion at sub-nanometer scale,Strong C-H/F hydrogen bonding,"298 K, 1 bar",Not Applicable,
UTSA-200,ethylene,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-200,carbon dioxide,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-16,carbon dioxide,Yes,Optimal pore cages and strong binding sites for CO2,Optimal pore cages and strong binding sites for CO2,"298 K, 1 bar",Not Applicable,
UTSA-16,methane,No,Optimal pore cages and strong binding sites for CO2,Size exclusion and weaker interactions,"298 K, 1 bar",Not Applicable,
UTSA-16,carbon dioxide,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-16,methane,No,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
UTSA-120,carbon dioxide,Yes,Not Reported,Chemical adsorption via tetrazine and SiF62- pillars,"296 K, 0.15 bar",Not Applicable,
UTSA-100,acetylene,Yes,Not Reported,Size exclusion,"273 K, 296 K",Not Applicable,
UTSA-100,ethylene,No,Not Reported,Size exclusion,"273 K, 296 K",Not Applicable,
UTSA-100,acetylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"296 K, 1 bar",Not Applicable,
UTSA-100,ethylene,No,Size exclusion at sub-nanometer scale,Size exclusion,"296 K, 1 bar",Not Applicable,
UPC-80,acetylene,Yes,Specific C2H2 anchoring traps formed by 4-fold interpenetrated nets,Strong host–guest interactions via specific anchoring in binuclear cluster gaps,"298 K, 1 bar",Not Applicable,
UPC-80,carbon dioxide,Yes,Specific C2H2 anchoring traps formed by 4-fold interpenetrated nets,Adsorption at open metal sites with weaker affinity compared to acetylene,"298 K, 1 bar",Not Applicable,
UPC-80,ethylene,Yes,Specific C2H2 anchoring traps formed by 4-fold interpenetrated nets,Adsorption at open metal sites with weaker affinity compared to acetylene,"298 K, 1 bar",Not Applicable,
UPC-80,ethane,Yes,Specific C2H2 anchoring traps formed by 4-fold interpenetrated nets,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
UPC-80,propylene,Yes,Specific C2H2 anchoring traps formed by 4-fold interpenetrated nets,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
UPC-80,propane,Yes,Specific C2H2 anchoring traps formed by 4-fold interpenetrated nets,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
UPC-80,methane,Yes,Specific C2H2 anchoring traps formed by 4-fold interpenetrated nets,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
UPC-66-a,acetylene,Conditional (see Additional Info),Self-adaptive pore engineering with structural response to guest molecules,Privileged adsorption sites in hexagonal A and elliptical C type pores,"293 K, 1 bar",Not Applicable,
UPC-66-a,ethylene,Yes,Self-adaptive pore engineering with structural response to guest molecules,Privileged adsorption sites in hexagonal A type pores,"293 K, 1 bar",Not Applicable,
UPC-66-a,ethane,Conditional (see Additional Info),Self-adaptive pore engineering with structural response to guest molecules,Privileged adsorption sites in elliptical C type pores,"293 K, 1 bar",Not Applicable,
UPC-613,ethylene,Yes,Selective increase of interaction between MOF and light hydrocarbon gases.,Preferential adsorption of other molecules,"298 K, 1 bar",Not Applicable,
UPC-613,ethane,No,Selective increase of interaction between MOF and light hydrocarbon gases.,Stronger host-guest interaction,"298 K, 1 bar",Not Applicable,
UPC-613,acetylene,No,Selective increase of interaction between MOF and light hydrocarbon gases.,Stronger host-guest interaction,"298 K, 1 bar",Not Applicable,
UPC-612,ethylene,Yes,Selective increase of interaction between MOF and light hydrocarbon gases.,Preferential adsorption of other molecules,"298 K, 1 bar",Not Applicable,
UPC-612,ethane,No,Selective increase of interaction between MOF and light hydrocarbon gases.,Stronger host-guest interaction,"298 K, 1 bar",Not Applicable,
UPC-612,acetylene,No,Selective increase of interaction between MOF and light hydrocarbon gases.,Stronger host-guest interaction,"298 K, 1 bar",Not Applicable,
UiO-66,ethylene,Yes,Not Reported,Non-selective diffusion,"298 K, 1 bar",Not Applicable,
UiO-66,ethane,Yes,Not Reported,Non-selective diffusion,"298 K, 1 bar",Not Applicable,
UiO-66,carbon dioxide,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
UiO-66,carbon dioxide,Conditional (see Additional Info),Size exclusion at sub-nanometer scale combined with electrostatic interaction,Electrostatic interaction and size exclusion,"25 °C, up to 35 bar",Not Applicable,
UiO-66,methane,No,Size exclusion at sub-nanometer scale combined with electrostatic interaction,Size exclusion,"25 °C, up to 35 bar",Not Applicable,
UiO-66,ethylene,Yes,Not Reported,Non-selective diffusion,"298 K, 1 bar",Not Applicable,
UiO-66,ethane,Yes,Not Reported,Non-selective diffusion,"298 K, 1 bar",Not Applicable,
UiO-66,cyclohexene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
UiO-66,2-methylpentane,Yes,Preferential adsorption in small cavities,Preferential adsorption in small cavities,"298 K, up to p/p0 �?1",Not Applicable,
UiO-66,"2,2-dimethylbutane",Yes,Preferential adsorption in small cavities,Preferential adsorption in small cavities,"298 K, up to p/p0 �?1",Not Applicable,
UiO-66,xenon,Yes,Not Reported,Diffusion selectivity,"298 K, 1 bar",Not Applicable,
UiO-66,krypton,Yes,Not Reported,Diffusion selectivity,"298 K, 1 bar",Not Applicable,
UIO-66,toluene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
UIO-66,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"273 K, 298 K",Not Applicable,
UIO-66,methane,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"273 K, 298 K",Not Applicable,
UHMOF-100,toluene,Yes,Hydrophobic exclusion,Hydrophobic interactions,Not Reported,Not Applicable,
TYUT-23,propylene,Yes,Quasi-size-sieving effect combined with electrostatic repulsion for C3H8,Quasi-size-sieving effect with preferential adsorption due to Lewis basic sites,"298 K, 1 bar",Not Applicable,
TYUT-23,propane,No,Quasi-size-sieving effect combined with electrostatic repulsion for C3H8,Electrostatic repulsion and steric hindrance within the pore channel,"298 K, 1 bar",Not Applicable,
TYUT-20,oxygen,No,Preferential adsorption of Ar over O2 through spheroidal shape-matched interactions.,Repulsion due to linear shape,"298 K, 1 bar",Not Applicable,
TYUT-17,ethane,Yes,Cross-section matching and multiple supramolecular interactions,Gate-opening,"298 K, up to 1 bar",0.06 bar,
TYUT-17,ethylene,Conditional (see Additional Info),Cross-section matching and multiple supramolecular interactions,Gate-opening,"298 K, up to 1 bar",0.18 bar,
tp-PMBB-2-pcu-1,carbon dioxide,Yes,Size-selective sieving between CO2 and N2,Size exclusion at sub-nanometer scale,"195 K, adsorption isotherm",Not Applicable,
TMOF-1,carbon dioxide,Yes,Not Reported,Strong affinity toward sulfonate groups,Ambient conditions,Not Applicable,
TIFSIX-2-Cu-i,1-pentene,Yes,Electrostatic recognition combined with pore size restriction,Electrostatic recognition,"298 K, 45 kPa",Not Applicable,
TIFSIX-2-Cu-i,isoprene,Yes,Electrostatic recognition combined with pore size restriction,Electrostatic recognition,"298 K, 45 kPa",Not Applicable,
TIFSIX-2-Cu-i,acetylene,Yes,Not Reported,Not Reported,Not Reported,Not Applicable,
TIFSIX-2-Cu-i,carbon dioxide,No,Not Reported,Not Reported,Not Reported,Not Applicable,
TIFSIX-2-Cu-i,carbon dioxide,Yes,Not Reported,Chemical adsorption via TiF62- pillars,"298 K, 0.15 bar",Not Applicable,
TIFSIX-14-Cu-i,propyne,Yes,Size exclusion at sub-nanometer scale,Gate-opening adsorption,"273�?13 K, up to 1 bar",500 ppm,
TIFSIX-14-Cu-i,propylene,No,Size exclusion at sub-nanometer scale,Size exclusion,"273�?13 K, up to 1 bar",Not Applicable,
Tb-L,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"273 K, 1 bar",Not Applicable,
