Materials Name,Molecule Name,Can Pass SievingPore Size,Structure Type,Material Category,Sieving Mechanism,Molecular Size,Mechanism,File Name,Test Conditions,Threshold Pressure,Additional Info,,,,,,,,,
ZIF-7-II/OPBI,carbon dioxide,No,3 Å (narrow-pore phase),Not Reported,MOF composite,Size exclusion at sub-nanometer scale,3.3 Å,Size exclusion at sub-nanometer scale,10.1021-acsami.0c17426_1747624523341286_10.1021@acsami.0c17426.json,"25 °C, 4 bar",Not Applicable,CO2 permeability decreased in ZIF-7-II/OPBI due to narrow pore restriction.,,,,,,,,
ZIF-7-90,carbon dioxide,Yes,3.7�? Å (tunable),SOD-type topology,MOFs,Tunable pore size and gate-opening effect via mixed-linker synthesis,0.33 nm,Size exclusion at sub-nanometer scale,10.1002-aic.15102_1747625517378062_rashidi2015.json,"273 K, 1 bar",Not Applicable,CO2 adsorption shows tunable microporosity depending on the linker composition.,,,,,,,,
ZIF-7-90,n-butane,Conditional (see Additional Info),3.7�? Å (tunable),SOD-type topology,MOFs,Tunable pore size and gate-opening effect via mixed-linker synthesis,0.43 nm,Kinetic sieving,10.1002-aic.15102_1747625517378062_rashidi2015.json,"308 K, 1 bar",Not Applicable,Transport diffusivity of n-butane is tunable over 6�? orders of magnitude depending on framework composition.,,,,,,,,
ZIF-7-90,i-butane,Conditional (see Additional Info),3.7�? Å (tunable),SOD-type topology,MOFs,Tunable pore size and gate-opening effect via mixed-linker synthesis,0.56 nm,Kinetic sieving,10.1002-aic.15102_1747625517378062_rashidi2015.json,"308 K, 1 bar",Not Applicable,Transport diffusivity of i-butane is tunable over 4�? orders of magnitude depending on framework composition.,,,,,,,,
ZIF-7-90,water,Conditional (see Additional Info),3.7�? Å (tunable),SOD-type topology,MOFs,Tunable pore size and gate-opening effect via mixed-linker synthesis,0.27 nm,Hydrophobicity tuning,10.1002-aic.15102_1747625517378062_rashidi2015.json,"308 K, varying relative humidity",Varies with composition,"Water uptake behavior is tunable; materials with high ZIF-7 content are hydrophobic, while those with higher OHC-IM content show increased hydrophilicity.",,,,,,,,
ZIF-7-8 hybrids,nitrogen,No,"Shifts to smaller values, ~0.32 nm appears at 20% Bz-IM",3D cages,MOFs,Reduction of average pore size by inclusion of bulky Bz-IM linkers,0.364 nm,Bz-IM groups block rotational displacement of imidazole linkers,10.1021-cm3006953_1747626580658424_thompson2012.json,"77 K, P/P0 up to 1",Not Applicable,Progressive suppression of gate-opening phenomena observed.,,,,,,,,
ZIF-7-8,carbon dioxide,Yes,"Varies with bIm content, <3.4 Å effective for high bIm content",3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.33 nm,Kinetic sieving,10.1016-j.seppur.2021.118722_1747625387044137_song2021.json,"Room temperature, various pressures",Not Applicable,Performance enhanced by mixed-linker strategy with benzimidazole incorporation.,,,,,,,,
ZIF-7-8,methane,Yes,"Varies with bIm content, <3.4 Å effective for high bIm content",3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.38 nm,Kinetic sieving,10.1016-j.seppur.2021.118722_1747625387044137_song2021.json,"Room temperature, various pressures",Not Applicable,Performance enhanced by mixed-linker strategy with benzimidazole incorporation.,,,,,,,,
ZIF-7-8,carbon dioxide,Yes,2.95 Å (aperture after 15% decrease),3D cages,MOFs,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion at sub-nanometer scale,d2ta02624d.json,"Fully flexible framework, conditions vary",Not Applicable,Diffusivity ratio DCO2/DCH4 increases to 3 × 10^3,,,,,,,,
ZIF-7-8,methane,No,2.95 Å (aperture after 15% decrease),3D cages,MOFs,Size exclusion at sub-nanometer scale,0.38 nm,Size exclusion at sub-nanometer scale,d2ta02624d.json,"Fully flexible framework, conditions vary",Not Applicable,Blocked due to reduced aperture size,,,,,,,,
ZIF-78,carbon dioxide,Yes,7.1 Å,Not Reported,MOFs,Smaller pore size leads to higher selectivity for CO2,3.3 Å,Smaller pore size enhances CO2 adsorption,10.1002-asia.201400031_1747624984303675_li2014.json,"298 K, 1 bar",Not Applicable,Highest CO2/N2 selectivity of 50.1 and CO2/CH4 selectivity of 10.6 among tested ZIFs,,,,,,,,
ZIF-78,nitrogen,No,7.1 Å,Not Reported,MOFs,Smaller pore size leads to higher selectivity for CO2,3.64 Å,Size exclusion and weaker interactions,10.1002-asia.201400031_1747624984303675_li2014.json,"298 K, 1 bar",Not Applicable,Lower uptake of nitrogen,,,,,,,,
ZIF-78,methane,No,7.1 Å,Not Reported,MOFs,Smaller pore size leads to higher selectivity for CO2,3.8 Å,Size exclusion and weaker interactions,10.1002-asia.201400031_1747624984303675_li2014.json,"298 K, 1 bar",Not Applicable,Lower uptake of methane,,,,,,,,
ZIF-77,carbon dioxide,Yes,3.6 - 4.7 Å (2-D channels),2-D channels that do not connect in the normal (90°) direction,MOF membrane,2-D channels inhibit CH4 transport by means of constriction,Not Reported,Size exclusion at sub-nanometer scale,10.1039-c2ee21743k_1747626125410145_thornton2012.json,Not Reported,Not Applicable,Exploits diffusivity differences to separate CO2/CH4 mixtures,,,,,,,,
ZIF-77,methane,No,3.6 - 4.7 Å (2-D channels),2-D channels that do not connect in the normal (90°) direction,MOF membrane,2-D channels inhibit CH4 transport by means of constriction,Not Reported,Size exclusion at sub-nanometer scale,10.1039-c2ee21743k_1747626125410145_thornton2012.json,Not Reported,Not Applicable,Inhibited transport due to pore constriction,,,,,,,,
ZIF-723-8,propylene,Yes,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.42 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Permeance decreases as bIm content increases.,,,,,,,,
ZIF-723-8,propane,No,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.43 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Not detected in permeate side.,,,,,,,,
ZIF-723-8,hydrogen,Yes,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.289 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Separation factor increases with bIm incorporation.,,,,,,,,
ZIF-723-8,methane,Yes,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.38 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Separation factor increases with bIm incorporation.,,,,,,,,
ZIF-723-8,carbon dioxide,Yes,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Separation factor increases with bIm incorporation.,,,,,,,,
ZIF-722-8,carbon dioxide,Yes,3.53 Å (mean pore size),Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,0.33 nm,molecular sieving,10.1002-anie.201811638_1747624952090065_hou2018.json,Not Reported,Not Applicable,The aperture is narrowed to a suitable range for CO2/CH4 separation.,,,,,,,,
ZIF-722-8,methane,No,3.53 Å (mean pore size),Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,0.38 nm,size exclusion,10.1002-anie.201811638_1747624952090065_hou2018.json,Not Reported,Not Applicable,"The aperture size is smaller than the kinetic diameter of methane, preventing its passage.",,,,,,,,
ZIF-715-8,propylene,Yes,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.42 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Permeance decreases as bIm content increases.,,,,,,,,
ZIF-715-8,propane,No,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.43 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Not detected in permeate side.,,,,,,,,
ZIF-715-8,hydrogen,Yes,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.289 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Separation factor increases with bIm incorporation.,,,,,,,,
ZIF-715-8,methane,Yes,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.38 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Separation factor increases with bIm incorporation.,,,,,,,,
ZIF-715-8,carbon dioxide,Yes,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Separation factor increases with bIm incorporation.,,,,,,,,
ZIF-711-8,propylene,Yes,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.42 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Permeance decreases as bIm content increases.,,,,,,,,
ZIF-711-8,propane,No,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.43 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Not detected in permeate side.,,,,,,,,
ZIF-711-8,hydrogen,Yes,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.289 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Separation factor increases with bIm incorporation.,,,,,,,,
ZIF-711-8,methane,Yes,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.38 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Separation factor increases with bIm incorporation.,,,,,,,,
ZIF-711-8,carbon dioxide,Yes,Not Reported,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion,10.1021-acsami.7b18506_1747624721760716_hillman2018.json,"298 K, 1 bar",Not Applicable,Separation factor increases with bIm incorporation.,,,,,,,,
ZIF-71(SOD),water,No,"Larger than ZIF-8, expands up to 76% from crystallographic size",Not Reported,MOFs,76% pore expansion allows adsorption of larger molecules compared to ZIF-8,2.8 Å,Hydrophobic exclusion,10.1021-acsmaterialsau.3c00094.json,Not Reported,Not Applicable,Excluded due to framework hydrophobicity,,,,,,,,
ZIF-71(SOD),2-chlorophenol,Yes,"Larger than ZIF-8, expands up to 76% from crystallographic size",Not Reported,MOFs,76% pore expansion allows adsorption of larger molecules compared to ZIF-8,Not Reported,Molecular sieving with pore expansion,10.1021-acsmaterialsau.3c00094.json,Not Reported,Not Applicable,Adsorbed due to expanded pore size,,,,,,,,
ZIF-71(SOD),2-hydroxyacetophenone,Yes,"Larger than ZIF-8, expands up to 76% from crystallographic size",Not Reported,MOFs,76% pore expansion allows adsorption of larger molecules compared to ZIF-8,Not Reported,Molecular sieving with pore expansion,10.1021-acsmaterialsau.3c00094.json,Not Reported,Not Applicable,Adsorbed due to expanded pore size,,,,,,,,
ZIF-71(SOD),dimethyl isosorbide,Yes,"Larger than ZIF-8, expands up to 76% from crystallographic size",Not Reported,MOFs,76% pore expansion allows adsorption of larger molecules compared to ZIF-8,Not Reported,Molecular sieving with pore expansion,10.1021-acsmaterialsau.3c00094.json,Not Reported,Not Applicable,Adsorbed due to expanded pore size,,,,,,,,
ZIF-71(SOD),15-crown-5,No,"Larger than ZIF-8, expands up to 76% from crystallographic size",Not Reported,MOFs,76% pore expansion allows adsorption of larger molecules compared to ZIF-8,Not Reported,Size exclusion after pore expansion,10.1021-acsmaterialsau.3c00094.json,Not Reported,Not Applicable,Excluded as molecular size exceeds expanded pore limit,,,,,,,,
ZIF-71(RHO),water,No,"Larger than ZIF-8, specific size not reported",Not Reported,MOFs,Large pore size enables adsorption of bulkier molecules compared to ZIF-8,2.8 Å,Hydrophobic exclusion despite large pore,10.1021-acsmaterialsau.3c00094.json,Not Reported,Not Applicable,Excluded despite framework having large pores,,,,,,,,
ZIF-71(RHO),2-hydroxyacetophenone,Yes,"Larger than ZIF-8, specific size not reported",Not Reported,MOFs,Large pore size enables adsorption of bulkier molecules compared to ZIF-8,Not Reported,Molecular sieving with large pore aperture,10.1021-acsmaterialsau.3c00094.json,Not Reported,Not Applicable,Adsorbed due to expanded pore size,,,,,,,,
ZIF-71(RHO),dimethyl isosorbide,Yes,"Larger than ZIF-8, specific size not reported",Not Reported,MOFs,Large pore size enables adsorption of bulkier molecules compared to ZIF-8,Not Reported,Molecular sieving with large pore aperture,10.1021-acsmaterialsau.3c00094.json,Not Reported,Not Applicable,Adsorbed due to expanded pore size,,,,,,,,
ZIF-71(RHO),15-crown-5,Yes,"Larger than ZIF-8, specific size not reported",Not Reported,MOFs,Large pore size enables adsorption of bulkier molecules compared to ZIF-8,Not Reported,Molecular sieving with large pore aperture,10.1021-acsmaterialsau.3c00094.json,Not Reported,Not Applicable,Adsorbed despite being sterically bulky,,,,,,,,
ZIF-71,ethanol,Yes,0.42 nm,3D cages,MOF membrane,Selective adsorption over size exclusion,0.44 nm,Adsorption selectivity,10.1039-d0cs00552e_1747625553227630_10.1039@D0CS00552E.json,"298 K, 1 bar",Not Applicable,Ethanol preferentially adsorbs and permeates through the membrane.,,,,,,,,
ZIF-71,water,No,0.42 nm,3D cages,MOF membrane,Selective adsorption over size exclusion,0.275 nm,Size exclusion,10.1039-d0cs00552e_1747625553227630_10.1039@D0CS00552E.json,"298 K, 1 bar",Not Applicable,Water is excluded despite its smaller size due to hydrophobic nature of the membrane.,,,,,,,,
ZIF-7@PI MMM,hydrogen,Yes,"0.21 nm (estimated from crystallographic data, effective pore size slightly larger due to structural flexibility)",Not Reported,MOF composite,Size exclusion at sub-nanometer scale,0.29 nm,Size exclusion at sub-nanometer scale,10.1002-anie.201911226_1747625873001230_ma2019.json,"100°C, 2 bar",Not Applicable,Hydrogen permeance: ~3.0 × 10⁻⁷ mol m⁻�?s⁻�?Pa⁻�?,,,,,,,,
ZIF-7@PI MMM,carbon dioxide,No,"0.21 nm (estimated from crystallographic data, effective pore size slightly larger due to structural flexibility)",Not Reported,MOF composite,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion at sub-nanometer scale,10.1002-anie.201911226_1747625873001230_ma2019.json,"100°C, 2 bar",Not Applicable,H�?CO�?mixture separation factor: 91.5,,,,,,,,
ZIF-7@PI MMM,methane,No,"0.21 nm (estimated from crystallographic data, effective pore size slightly larger due to structural flexibility)",Not Reported,MOF composite,Size exclusion at sub-nanometer scale,0.38 nm,Size exclusion at sub-nanometer scale,10.1002-anie.201911226_1747625873001230_ma2019.json,"100°C, 2 bar",Not Applicable,H�?CH�?mixture separation factor: 128.4,,,,,,,,
ZIF-7@PI MMM,propane,No,"0.21 nm (estimated from crystallographic data, effective pore size slightly larger due to structural flexibility)",Not Reported,MOF composite,Size exclusion at sub-nanometer scale,0.43 nm,Size exclusion at sub-nanometer scale,10.1002-anie.201911226_1747625873001230_ma2019.json,"100°C, 2 bar",Not Applicable,Ideal H�?C₃H�?separation factor: 451.5,,,,,,,,
ZIF-7/rGO,hydrogen,Yes,"0.30 nm (ZIF-7), Not Reported (rGO)",Layered structure with uniform nanochannels,MOF composite,Size exclusion at sub-nanometer scale,0.289 nm,Size exclusion,10.1039-c6ta09362k_1747624127990203_zhang2016.json,Not Reported,Not Applicable,H2 permeability: 73 barrer,,,,,,,,
ZIF-7/rGO,carbon dioxide,No,"0.30 nm (ZIF-7), Not Reported (rGO)",Layered structure with uniform nanochannels,MOF composite,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion,10.1039-c6ta09362k_1747624127990203_zhang2016.json,Not Reported,Not Applicable,Higher selectivity compared to ZIF-8/rGO due to smaller pore size.,,,,,,,,
ZIF-7,hydrogen,Not Reported,Not Reported,Not Reported,MOF membrane,Not Reported,Not Reported,Not Reported,10.1002-adfm.201707427_1747625981475934_he2018.json,Not Reported,Not Applicable,Not Reported,,,,,,,,
ZIF-7,hydrogen,Not Reported,Not Reported,Not Reported,MOF membrane,Not Reported,Not Reported,Not Reported,10.1002-adfm.201707427_1747628660713185_he2018.json,Not Reported,Not Applicable,Not Reported,,,,,,,,
ZIF-7,hydrogen,Yes,3.0 Å,Six-membered ring pores,MOFs,Kinetic sieving based on molecular size,2.9 Å,Kinetic diameter smaller than pore size,10.1002-asia.201400031_1747624984303675_li2014.json,200 °C,Not Applicable,High H2/CO2 ideal selectivity of 6.7,,,,,,,,
ZIF-7,carbon dioxide,No,3.0 Å,Six-membered ring pores,MOFs,Kinetic sieving based on molecular size,3.3 Å,Kinetic diameter larger than pore size,10.1002-asia.201400031_1747624984303675_li2014.json,200 °C,Not Applicable,CO2 cannot pass through the membrane,,,,,,,,
ZIF-7,ethane,Yes,Not Reported,Not Reported,MOF membrane,Gate opening mechanism governs selective adsorption behavior.,Not Reported,Gate opening,10.1016-j.coche.2011.08.007_1747623504232582_caro2011.json,Not Reported,Not Applicable,Ethane adsorption occurs at lower pressure compared to ethylene.,,,,,,,,
ZIF-7,ethane,Yes,3.0 Å,3D cages,MOFs,Guest-dependent gate-opening pressure leading to selective adsorption.,Not Reported,Gate-opening effect,10.1016-j.coche.2018.03.008_1747624433416758_jin2018.json,298 K,12 kPa,Ethane selectively adsorbed due to lower gate-opening pressure than ethylene.,,,,,,,,
ZIF-7,ethylene,Yes,3.0 Å,3D cages,MOFs,Guest-dependent gate-opening pressure leading to selective adsorption.,Not Reported,Gate-opening effect,10.1016-j.coche.2018.03.008_1747624433416758_jin2018.json,298 K,41 kPa,Higher threshold pressure required for ethylene adsorption.,,,,,,,,
ZIF-7,carbon dioxide,Yes,3.0 Å,3D cages,MOFs,Guest-dependent gate-opening pressure leading to selective adsorption.,0.33 nm,Gate-opening effect,10.1016-j.coche.2018.03.008_1747624433416758_jin2018.json,303 K,78 kPa,CO2 adsorption occurs at lower pressure than CH4 or N2.,,,,,,,,
ZIF-7,methane,Yes,3.0 Å,3D cages,MOFs,Guest-dependent gate-opening pressure leading to selective adsorption.,0.38 nm,Gate-opening effect,10.1016-j.coche.2018.03.008_1747624433416758_jin2018.json,303 K,1245 kPa,CH4 requires significantly higher pressure for adsorption compared to CO2.,,,,,,,,
ZIF-7,nitrogen,No,3.0 Å,3D cages,MOFs,Guest-dependent gate-opening pressure leading to selective adsorption.,0.364 nm,Gate-opening effect,10.1016-j.coche.2018.03.008_1747624433416758_jin2018.json,303 K,None,N2 does not cause gate-opening within tested pressure range.,,,,,,,,
ZIF-7,nitrous oxide,Yes,3.0 Å,3D cages,MOFs,Guest-dependent gate-opening pressure leading to selective adsorption.,Not Reported,Gate-opening effect,10.1016-j.coche.2018.03.008_1747624433416758_jin2018.json,298 K,35 kPa,N2O adsorbs at lower pressure than CO2 in ZIF-7.,,,,,,,,
ZIF-7,carbon monoxide,Yes,3.0 Å,3D cages,MOFs,Guest-dependent gate-opening pressure leading to selective adsorption.,Not Reported,Gate-opening effect,10.1016-j.coche.2018.03.008_1747624433416758_jin2018.json,Not Reported,Not Applicable,"CO triggers gate-opening at lower pressure compared to N2, O2, or Ar.",,,,,,,,
ZIF-7,water,Yes,Not Reported,Not Reported,MOF membrane,Not Reported,0.26 nm,Size exclusion,10.1016-j.desal.2016.02.005_1747625698047158_zhu2016.json,"25�?00 °C, vacuum",Not Applicable,High water flux observed; decreases slightly with increasing salt concentration.,,,,,,,,
ZIF-7,sodium,No,Not Reported,Not Reported,MOF membrane,Not Reported,0.72 nm,Size exclusion,10.1016-j.desal.2016.02.005_1747625698047158_zhu2016.json,"25�?00 °C, vacuum",Not Applicable,Ion rejection >99.5%.,,,,,,,,
ZIF-7,hydrogen,Yes,0.3 nm,Not Reported,MOF membrane,Molecular sieving effect based on pore size between 0.29 nm and 0.33 nm.,0.29 nm,Size exclusion,10.1016-j.jece.2020.104790_1747624050838190_ghazvini2020.json,220 °C,Not Applicable,Separation factor is independent of feed composition.,,,,,,,,
ZIF-7,carbon dioxide,No,0.3 nm,Not Reported,MOF membrane,Molecular sieving effect based on pore size between 0.29 nm and 0.33 nm.,0.33 nm,Size exclusion,10.1016-j.jece.2020.104790_1747624050838190_ghazvini2020.json,220 °C,Not Applicable,Separation factor is independent of feed composition.,,,,,,,,
ZIF-7,hydrogen,Yes,3.0 Å,SOD topology,MOF membrane,Size exclusion at sub-nanometer scale,0.29 nm,Size exclusion,10.1016-j.jiec.2021.03.047_1747626515917323_abdulhamid2021.json,"Room temperature to 150°C, 1�? bar",Not Applicable,ZIF-7 membranes display higher H2/CO2 selectivity compared to ZIF-8.,,,,,,,,
ZIF-7,carbon dioxide,Conditional (see Additional Info),3.0 Å,SOD topology,MOF membrane,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion,10.1016-j.jiec.2021.03.047_1747626515917323_abdulhamid2021.json,"Room temperature to 150°C, 1�? bar",Not Applicable,Selectivity increases with temperature due to less affected hydrogen transport.,,,,,,,,
ZIF-7,hydrogen,Yes,0.3 nm,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.29 nm,molecular-sieving,10.1016-j.memsci.2010.02.074_1747628385386395_li2010.json,"220 °C, 1 bar",Not Applicable,H2 permeance is ~4.5 × 10�? mol m�? s�? Pa�?.,,,,,,,,
ZIF-7,carbon dioxide,No,0.3 nm,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.33 nm,size exclusion,10.1016-j.memsci.2010.02.074_1747628385386395_li2010.json,"220 °C, 1 bar",Not Applicable,CO2 permeance is ~0.35 × 10�? mol m�? s�? Pa�?.,,,,,,,,
ZIF-7,nitrogen,No,0.3 nm,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,Not Reported,size exclusion,10.1016-j.memsci.2010.02.074_1747628385386395_li2010.json,"220 °C, 1 bar",Not Applicable,N2 permeance is ~0.22 × 10�? mol m�? s�? Pa�?.,,,,,,,,
ZIF-7,methane,No,0.3 nm,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,Not Reported,size exclusion,10.1016-j.memsci.2010.02.074_1747628385386395_li2010.json,"220 °C, 1 bar",Not Applicable,CH4 permeance is ~0.31 × 10�? mol m�? s�? Pa�?.,,,,,,,,
ZIF-7,carbon dioxide,Yes,Not Reported,SOD (sodalite),MOFs,Not Reported,Not Reported,Electrochemical reduction facilitated by ligand active sites,10.1016-j.nanoen.2018.07.047_1747626392860074_jiang2018.json,"-1.1 V (vs. RHE), CO2-saturated 0.25 M K2SO4 solution, pH 4.2, room temperature, atmospheric pressure",Not Applicable,"Lowest CO Faradaic efficiency of 23.8% at -1.1 V, lowest CO current density of 2.8 mA cm-2 at -1.1 V.",,,,,,,,
ZIF-7,helium,Yes,3.6 Å × 3.6 Å,Three-dimensional tetrahedral frameworks,MOF membrane,Monomodal size distributions and diffusion pathways,2.60 Å,Molecular sieving,10.1016-j.seppur.2016.12.020_1747625324060892_sunarso2017.json,"25 oC, 1 atm pressure drop",Not Applicable,Helium permeance is 4.610 · 10-7 mol m-2s-1Pa-1.,,,,,,,,
ZIF-7,nitrogen,No,3.6 Å × 3.6 Å,Three-dimensional tetrahedral frameworks,MOF membrane,Monomodal size distributions and diffusion pathways,3.64 Å,Size exclusion,10.1016-j.seppur.2016.12.020_1747625324060892_sunarso2017.json,"25 oC, 1 atm pressure drop",Not Applicable,Nitrogen does not pass through the ZIF-7 membrane due to its larger size compared to the pore aperture.,,,,,,,,
ZIF-7,hexane,No,"2.9 Å (pore window), 4.3 Å (pore)",Sodalite (SOD)-type zeolite structure,MOF membrane,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1021-ja1058229_1747625586348874_chang2010.json,Not Reported,Not Applicable,Retention time within 1.6 min; Poor separation due to inaccessible pores,,,,,,,,
ZIF-7,heptane,No,"2.9 Å (pore window), 4.3 Å (pore)",Sodalite (SOD)-type zeolite structure,MOF membrane,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1021-ja1058229_1747625586348874_chang2010.json,Not Reported,Not Applicable,Retention time within 1.6 min; Poor separation due to inaccessible pores,,,,,,,,
ZIF-7,octane,No,"2.9 Å (pore window), 4.3 Å (pore)",Sodalite (SOD)-type zeolite structure,MOF membrane,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1021-ja1058229_1747625586348874_chang2010.json,Not Reported,Not Applicable,Retention time within 1.6 min; Poor separation due to inaccessible pores,,,,,,,,
ZIF-7,nonane,No,"2.9 Å (pore window), 4.3 Å (pore)",Sodalite (SOD)-type zeolite structure,MOF membrane,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1021-ja1058229_1747625586348874_chang2010.json,Not Reported,Not Applicable,Retention time within 1.6 min; Poor separation due to inaccessible pores,,,,,,,,
ZIF-7,hydrogen,Yes,0.29 nm,3D cages,MOFs,Size exclusion at sub-nanometer scale,0.289 nm,Kinetic sieving,10.1021-ja5016298_1747626633857322_cai2014.json,Not Reported,Not Applicable,ZIF-7 membranes are effective for H2/CO2 separations in precombustion processes.,,,,,,,,
ZIF-7,carbon dioxide,No,0.29 nm,3D cages,MOFs,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion,10.1021-ja5016298_1747626633857322_cai2014.json,"30-75 °C, varying pressures",60 kPa at 30 °C,"ZIF-7-S exhibits reversible CO2 adsorption/desorption isotherms at 30-75 °C, while ZIF-7-D and -R show hysteretic behavior.",,,,,,,,
ZIF-7,Not Reported,Not Reported,Not Reported,Not Reported,MOF membrane,Not Reported,Not Reported,Not Reported,10.1021-la102409e_1747626111955672_mccarthy2010.json,Not Reported,Not Applicable,No specific guest molecule separation data reported.,,,,,,,,
ZIF-7,carbon dioxide,Conditional (see Additional Info),Not Reported,3D cages,MOFs,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion at sub-nanometer scale,10.1038-s42004-020-00429-3_1747625129347671_rahman2020.json,"233-293 K, pressures up to 120 kPa",Dependent on temperature (ptr decreases with decreasing temperature),The material undergoes a structural transition from nonporous to porous phase upon adsorption of carbon dioxide.,,,,,,,,
ZIF-7,hydrogen,No,3.0 Å,Not Reported,MOFs,Size exclusion at sub-nanometer scale,2.83�?.89 Å,Size exclusion,10.1039-c3ta01544k_1747624155003057_oh2013.json,"19.5�?0 K, 0�? bar",Not Applicable,Hydrogen cannot penetrate due to comparable pore aperture and kinetic diameter.,,,,,,,,
ZIF-7,deuterium,No,3.0 Å,Not Reported,MOFs,Size exclusion at sub-nanometer scale,2.83�?.89 Å,Size exclusion,10.1039-c3ta01544k_1747624155003057_oh2013.json,"19.5�?0 K, 0�? bar",Not Applicable,Deuterium cannot penetrate due to comparable pore aperture and kinetic diameter.,,,,,,,,
ZIF-7,carbon dioxide,Yes,3.0 Å,Not Reported,MOF composite,Smaller pore aperture results in better selectivity for CO2 over CH4.,0.33 nm,Size exclusion,10.1039-c6ra23013j_1747623820848312_kertik2016.json,"35 °C, 10 bar",Not Applicable,Small increase in permeability and selectivity compared to unmodified polymer.,,,,,,,,
ZIF-7,methane,No,3.0 Å,Not Reported,MOF composite,Smaller pore aperture results in better selectivity for CO2 over CH4.,0.38 nm,Size exclusion,10.1039-c6ra23013j_1747623820848312_kertik2016.json,"35 °C, 10 bar",Not Applicable,Improved selectivity due to smaller pore aperture compared to ZIF-8.,,,,,,,,
ZIF-7,linear alkanes,No,2.9 Å,1D channels,MOFs,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1039-d0ay02310h_1747625561884412_meng2021.json,Not Reported,Not Applicable,The pore window size of ZIF-7 was too small for linear alkanes to pass through.,,,,,,,,
